workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
test-barchart,25-39,Male,PhD,23 or larger,7,"",zMW087X4,2021-09-01 15:52:34
A12VDN3TJJCAQQ,25-39,Male,High School,15,6,"",zMW087X4,2021-09-01 16:09:09
A3JHBUPKHEC1KP,50-59,Male,Bachelors,unsure,6,"INTERESTING ONE ",4Oc36189,2021-09-01 16:38:19
A3V2XCDF45VN9X,40-49,Male,PhD,13,5,"none",5S93648j,2021-09-01 19:24:05
A1K8VUKRL53OX,25-39,Male,Bachelors,17,6,"NONE",0VT3pci2,2021-09-01 19:54:32
A1PTH9KTRO06EG,25-39,Male,Bachelors,11,4,"",4S38975i,2021-09-01 20:35:52
A3S8A6T8K3KAD2,25-39,Male,Bachelors,unsure,1,"It was interesting & fun.",IX5wD380,2021-09-01 22:45:01
AW5O1RK3W60FC,50-59,Female,Bachelors,15,1,"It was very challenging because of the short time limit to see the charts. Thank you.",T8au0dcV,2021-09-01 22:57:51
A1H0VOG8ZE45B6,25-39,Female,Bachelors,21,1,"NA",Apgfwzd9,2021-09-01 23:28:43
A2I3VEQJSUSI3L,25-39,Male,Bachelors,21,7,"Interesting survey",41fLbn3q,2021-09-02 00:34:37
2131,25-39,Male,PhD,23 or larger,7,"",zMW087X4,2021-09-02 14:51:31
A1NLJ1L4VCQYV2,25-39,Male,High School,23 or larger,1,"It took some time to adjust to the speed of the trials but I assure you I did the best I could.",4Oc36189,2021-09-02 16:44:18
A1Q56N80RJLQ7S,25-39,Male,Bachelors,23 or larger,7,"Thank you for allowing me to participate in the study.",5S93648j,2021-09-02 20:39:10
A3B5SP3Z7JQXJW,40-49,Female,Masters,21,7,"it is very interesting and i get more information about this hit",0VT3pci2,2021-09-02 21:26:39
A18IBIG55GUNMH,40-49,Male,Bachelors,15,4,"Good",4S38975i,2021-09-02 21:36:08
A1I72NHC21347A,50-59,Female,High School,15,1,"",IX5wD380,2021-09-02 21:56:48
A1MIKI8R1U6XTW,40-49,Male,Masters,21,5,"good",T8au0dcV,2021-09-02 22:01:12
A3FMIKILLWS8N0,40-49,Female,Masters,13,2,"good",Apgfwzd9,2021-09-02 22:51:59
AB345B0O3S9QT,18-25,Female,Masters,15,5,"Nne",41fLbn3q,2021-09-03 00:00:32
A12FTSX85NQ8N9,25-39,Male,Bachelors,13,4,"I dont think so",Y2Z9VBf3,2021-09-03 00:08:44
AA5ZDXAA2DLY1,25-39,Female,High School,21,2,"",408762lU,2021-09-03 00:16:28
ADWDNBND4BW94,25-39,Female,High School,13,2,"",514EHI0y,2021-09-03 00:41:53
A3GVUYY3TWRPZT,40-49,Female,Bachelors,15,4,"",67k40W91,2021-09-03 00:52:33
AX25HGXEV3CD3,25-39,Female,Bachelors,11,4,"good",9WfVobYN,2021-09-03 00:56:34
A38FQ6G2HIJE3,25-39,Male,Masters,13,7,"",5nz70B32,2021-09-03 01:08:55
A10HQR5CL7D55V,25-39,Male,Bachelors,15,6,"",638V95q0,2021-09-03 02:21:06
A1FS8SBR4SDWYG,25-39,Female,Masters,15,6,"",0518o6I7,2021-09-03 02:37:44
AQJQK5FBJ7I5L,40-49,Female,Bachelors,21,6,"Such a good study.",l93Virk0,2021-09-03 02:39:15
A35WLQ74ZU5SYU,25-39,Male,Bachelors,21,7,"",15J34a82,2021-09-03 03:04:03
A2WVCXVSE0YGML,25-39,Male,Bachelors,21,5,"I had a really rough start, but then I started to get the hang of it towards the middle and end! That was challenging and fun, best of luck with your research!",lsj4E0m2,2021-09-03 06:28:35
A2NC23YMQPXSYV,40-49,Female,Masters,21,4,"I have enjoys to working this study.",JD41NMKd,2021-09-03 09:19:28
A34AIVDAXTHCCZ,25-39,Male,Bachelors,21,7,"very interesting",042561uF,2021-09-03 09:20:50
